Valores ordenados de mayor a menor para ión total 2021:
21134.39
6294.98
4517.60
4358.52
1838.17
1544.07
973.69
401.29
365.19
176.27
172.74
160.42
138.18
104.96
69.07
18.03
2.00
1.23
0.00
0.00
